,Label,Red,Green,Blue,Hue,Sarutation,Value,Size
49,0.0,164.98323011010336,179.416684654629,211.4443907998704,16.70631681889379,66.35976052380946,213.4092144348182,614878.0
50,0.0,174.6135874332887,186.66648769227007,225.67586790204143,15.578744656980788,63.77013920683906,226.94224864655163,590075.0
51,0.0,173.5995568224791,185.7996174166112,225.28984473306517,15.76578112249524,64.55357560666005,226.57154685319634,590414.0
52,0.0,170.06994699144934,181.55477465604594,212.82782903990503,25.162791833144347,63.951043941514435,215.4206107994327,641027.0
53,0.0,176.17231385611296,189.49340904853167,220.024072844428,25.13239821550881,60.084477101408766,222.49236987649135,586200.0
54,0.0,173.33290932246936,187.13230804021404,218.7722794475545,25.976175623363734,62.255416012741236,221.3272597165284,586200.0
55,0.0,139.00619225525494,161.76137852755863,193.62005033223912,20.36960359638905,84.32763483149786,197.3542851068195,658095.0
56,0.0,143.33346519762452,162.99947759557912,201.21637081618942,19.66294562890209,83.82072211597082,203.91994383320622,858400.0
57,0.0,139.70372017434653,157.38426168523597,209.44324687974424,15.851476849605056,92.81204625715392,210.89980083029747,1011977.0
58,0.0,128.6197600100017,149.1273937127009,204.23559843136454,16.112720286375477,101.4183271120319,205.83743394916988,791319.0
59,0.0,139.0220834622126,157.1220083900402,207.88828476732996,17.856169128260646,91.27629835120459,209.35057093514794,680155.0
60,0.0,152.50926967927776,164.67076883099804,215.69981156821433,17.23010820666574,80.86719579674718,216.35429255688504,929853.0
61,0.0,148.94840924492996,159.5737435897436,207.76527223992312,27.386707125878722,80.89540646335912,208.80417700905275,873528.0
62,0.0,143.0487610928488,159.6882563306,200.3587222001469,30.744921191104048,82.61456730364002,202.6979860082602,673592.0
63,0.0,157.14035023930322,170.00038870268963,210.2937475570815,19.28755774810421,75.11971999555027,211.68104044196102,712343.0
64,0.0,151.14803812246367,166.69637662461926,206.29091573633156,23.172231747648407,78.46643742157772,207.94495895853862,670533.0
65,0.0,149.3949340685826,162.38275594616786,213.63934518980648,16.954666609642974,83.50393663954922,214.937613406983,816022.0
66,0.0,135.569809233658,146.96926126553217,199.6750191138161,23.60896223016985,90.8682366720348,200.70328385817896,883724.0
67,0.0,175.2794995781868,192.74895355859007,208.68543223492074,19.278445869302338,52.925996730385684,212.46101202205116,442292.0
68,0.0,169.98475525806515,189.51430964000738,221.9933652362844,15.818401087576197,66.48839199759192,224.43796570507342,758447.0
69,0.0,163.96722377164372,178.04793495610534,194.55208640566988,28.155290888823345,53.777023187827474,196.83951397081788,276857.0
70,1.0,132.8233640282073,153.71031650388235,206.07028681575719,15.023527420548081,97.51759607523464,207.27312656507075,652755.0
71,1.0,148.43331144309695,163.9427247269024,205.46915646408073,12.184174998457076,80.32971758702092,207.22687156699376,658476.0
72,1.0,162.04395646261693,175.55643917192225,219.091999976555,23.371508451926008,73.8491026422526,220.42742128337983,522525.0
73,1.0,158.80612171252056,172.14613525698394,213.02672084452016,24.12009223707382,73.27613203325731,214.53498284688743,507883.0
74,1.0,165.35612548590865,178.538227886818,218.05052853411772,21.791346704498125,68.5300471591698,219.35598068946967,536059.0
75,1.0,191.92487198340334,212.4614652043495,223.238910873776,19.269893071515142,43.23214657505726,226.1872491674532,177583.0
76,1.0,181.32455469240426,202.19492874097614,224.15895225204017,19.285176684452814,54.66802964466939,226.33182690547184,341483.0
77,1.0,177.71239558183765,198.93478242301384,222.8107568501731,17.487759515078352,58.23302048218841,225.37961304778608,459418.0
78,1.0,170.5312959143309,196.29917130519138,222.0412304805229,20.99199736757836,64.39334454113924,224.04020918098252,228573.0
79,1.0,164.59219763454567,192.70631220421006,226.11696338189023,19.72142146443599,72.6986217378389,227.84604012793412,285324.0
80,1.0,172.17829288805925,182.47837494102444,223.04616402387742,22.984549426654905,66.00021795318878,223.8909157110915,565432.0
81,1.0,168.97495919399597,187.17035939358314,217.93639348744378,19.272906727180764,64.82460390151877,220.6013211029241,417577.0
82,1.0,176.04445903579642,193.2628610617402,220.02764841285236,20.995265177754995,59.10346445098031,222.8147486570898,404121.0
83,1.0,159.5689329031567,176.8596019973761,219.57313582692976,21.01274331307398,75.91908350959865,220.77933010254625,473444.0
84,1.0,155.4256956377611,177.09021300802993,220.72830766611602,17.63752025129951,80.15332370452238,222.1782169721288,422430.0
85,1.0,165.0712512482677,186.86390060732046,213.17359264184398,21.006995394146898,66.8593845530692,216.70812061832558,307933.0
86,1.0,186.4197650801481,208.584077382825,218.1084432434026,19.848646077412308,47.227412181905585,222.6726205007822,203967.0
87,1.0,179.02147701793723,202.80312219730942,217.77759048686738,23.809310137732222,54.61164998398463,221.9687175688661,274069.0
88,1.0,181.28378035671028,204.9825297510901,216.9611929960029,21.35946432897287,51.855731059229655,221.52170996850776,252444.0
89,1.0,185.62793579363753,201.84883757786025,212.9439145207866,37.71411903071452,47.36617863556632,218.8484848202353,617257.0
90,1.0,189.44604878038874,205.32752717187086,218.5553621155772,17.21114412313717,44.46773168958156,222.23822332220934,437398.0
91,1.0,186.96531175424533,206.30600035934432,215.24094037648229,25.474445089421454,44.321954787111515,220.68549884364836,436285.0
92,1.0,177.21387827991546,199.3119476149071,210.18247694153385,25.701550622230048,53.28830213928268,216.30838818203165,479662.0
93,1.0,155.87182982050032,173.64900097465886,216.26475884807505,19.575800667032162,77.14636254264133,217.42010906534276,454027.0
94,1.0,167.1234170558419,186.49206757084113,218.2547729802494,19.626770760187295,65.13060159390648,219.69619492390768,337300.0
95,1.0,148.84149697580645,172.30220703125,214.38155934979838,20.157994581653227,83.90486265120968,215.8760962701613,430358.0
96,1.0,147.40363648504274,172.2969751602564,213.0923297275641,21.797337072649572,84.47322315705128,214.85943042200856,392843.0
97,1.0,170.91891995493137,185.4924553965213,216.28818817534042,19.507803885963945,63.38057241992392,218.55544639657643,516528.0
98,1.0,155.3288113038024,167.47445922121074,218.90188071787395,20.4949425599123,79.9711358614883,219.78612114122973,526965.0
99,1.0,147.82578656462584,163.40773888259008,214.22144746787603,17.652205372889895,84.34226111740993,215.35256204333587,483682.0
100,1.0,165.3677499319058,181.07940045675494,219.4347585536792,19.770663316082803,69.53166314846631,220.8361791034613,416723.0
